match_id,match_date,player,wickets_taken,runs_conceded,overs_bowled,economy_rate,bowling_strike_rate,dot_ball_pct
225271,2006-06-15,PDRL Perera,0,31,3.0,10.33,999.0,0.67
225271,2006-06-15,SL Malinga,0,25,3.0,8.33,999.0,0.61
225271,2006-06-15,ST Jayasuriya,2,33,4.0,8.25,12.0,0.33
225271,2006-06-15,MF Maharoof,0,30,4.17,7.2,999.0,0.28
225271,2006-06-15,TM Dilshan,1,18,2.0,9.0,12.0,0.17
225271,2006-06-15,CRD Fernando,1,24,4.0,6.0,24.0,0.29
251487,2006-12-22,M Muralitharan,2,29,4.0,7.25,12.0,0.62
251487,2006-12-22,ST Jayasuriya,3,22,4.0,5.5,8.0,0.5
251487,2006-12-22,MF Maharoof,1,30,3.0,10.0,18.0,0.44
251487,2006-12-22,DPMD Jayawardene,0,8,1.0,8.0,999.0,0.17
251487,2006-12-22,WPUJC Vaas,1,32,4.0,8.0,24.0,0.42
251487,2006-12-22,LPC Silva,1,4,1.0,4.0,6.0,0.33
251487,2006-12-22,CRD Fernando,0,37,3.0,12.33,999.0,0.22
251488,2006-12-26,PDRL Perera,0,49,4.0,12.25,999.0,0.38
251488,2006-12-26,SL Malinga,0,20,3.0,6.67,999.0,0.83
251488,2006-12-26,HMCM Bandara,0,20,4.0,5.0,999.0,0.46
251488,2006-12-26,TM Dilshan,0,8,3.5,2.29,999.0,0.67
251488,2006-12-26,CRD Fernando,3,19,4.0,4.75,8.0,0.67
287860,2007-09-14,G Wijekoon,1,12,3.0,4.0,18.0,0.33
287860,2007-09-14,SL Malinga,2,13,3.0,4.33,9.0,0.61
287860,2007-09-14,ST Jayasuriya,1,9,3.0,3.0,18.0,0.56
287860,2007-09-14,TM Dilshan,2,4,1.5,2.67,4.5,0.56
287860,2007-09-14,WPUJC Vaas,2,15,4.0,3.75,12.0,0.62
287860,2007-09-14,LPC Silva,0,12,2.0,6.0,999.0,0.42
287860,2007-09-14,CRD Fernando,0,23,3.0,7.67,999.0,0.94
287863,2007-09-15,G Wijekoon,1,50,4.0,12.5,24.0,0.29
287863,2007-09-15,SL Malinga,1,29,4.0,7.25,24.0,0.38
287863,2007-09-15,ST Jayasuriya,1,27,4.0,6.75,24.0,0.29
287863,2007-09-15,WPUJC Vaas,0,27,4.0,6.75,999.0,0.38
287863,2007-09-15,CRD Fernando,2,31,4.0,7.75,12.0,0.42
287868,2007-09-17,G Wijekoon,0,39,4.0,9.75,999.0,0.17
287868,2007-09-17,SL Malinga,3,43,4.17,10.32,8.33,0.28
287868,2007-09-17,ST Jayasuriya,0,64,4.0,16.0,999.0,0.0
287868,2007-09-17,WPUJC Vaas,1,25,4.0,6.25,24.0,0.54
287868,2007-09-17,CRD Fernando,2,18,4.17,4.32,12.5,0.76
287871,2007-09-18,SL Malinga,1,9,2.17,4.15,13.0,0.62
287871,2007-09-18,ST Jayasuriya,2,4,1.83,2.18,5.5,0.73
287871,2007-09-18,MF Maharoof,1,16,3.0,5.33,18.0,0.39
287871,2007-09-18,TM Dilshan,0,19,2.0,9.5,999.0,0.17
287871,2007-09-18,WPUJC Vaas,2,14,4.0,3.5,12.0,0.58
287871,2007-09-18,CRD Fernando,2,21,3.0,7.0,9.0,0.5
287874,2007-09-20,SL Malinga,0,8,1.0,8.0,999.0,0.17
287874,2007-09-20,MF Maharoof,0,34,2.0,17.0,999.0,0.17
287874,2007-09-20,TM Dilshan,0,13,2.0,6.5,999.0,0.42
287874,2007-09-20,J Mubarak,0,8,0.33,24.0,999.0,0.0
287874,2007-09-20,WPUJC Vaas,0,21,2.17,9.69,999.0,0.23
