match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1428476,2024,2024-07-15,"R Premadasa Stadium, Colombo",1,0.1,Kandy Falcons,Dambulla Sixers,LD Chandimal,ADS Fletcher,N Thushara,1,0,,,,,,,,,
1428476,2024,2024-07-15,"R Premadasa Stadium, Colombo",1,0.2,Kandy Falcons,Dambulla Sixers,ADS Fletcher,LD Chandimal,N Thushara,4,0,,,,,,,,,
1428476,2024,2024-07-15,"R Premadasa Stadium, Colombo",1,0.3,Kandy Falcons,Dambulla Sixers,ADS Fletcher,LD Chandimal,N Thushara,1,0,,,,,,,,,
1428476,2024,2024-07-15,"R Premadasa Stadium, Colombo",1,0.4,Kandy Falcons,Dambulla Sixers,LD Chandimal,ADS Fletcher,N Thushara,0,0,,,,,,,,,
1428476,2024,2024-07-15,"R Premadasa Stadium, Colombo",1,0.5,Kandy Falcons,Dambulla Sixers,LD Chandimal,ADS Fletcher,N Thushara,0,0,,,,,,,,,
1428476,2024,2024-07-15,"R Premadasa Stadium, Colombo",1,0.6,Kandy Falcons,Dambulla Sixers,LD Chandimal,ADS Fletcher,N Thushara,1,0,,,,,,,,,
1428476,2024,2024-07-15,"R Premadasa Stadium, Colombo",1,1.1,Kandy Falcons,Dambulla Sixers,LD Chandimal,ADS Fletcher,D Madushanka,6,0,,,,,,,,,
1428476,2024,2024-07-15,"R Premadasa Stadium, Colombo",1,1.2,Kandy Falcons,Dambulla Sixers,LD Chandimal,ADS Fletcher,D Madushanka,1,0,,,,,,,,,
1428476,2024,2024-07-15,"R Premadasa Stadium, Colombo",1,1.3,Kandy Falcons,Dambulla Sixers,ADS Fletcher,LD Chandimal,D Madushanka,0,0,,,,,,,,,
1428476,2024,2024-07-15,"R Premadasa Stadium, Colombo",1,1.4,Kandy Falcons,Dambulla Sixers,ADS Fletcher,LD Chandimal,D Madushanka,1,0,,,,,,,,,
1428476,2024,2024-07-15,"R Premadasa Stadium, Colombo",1,1.5,Kandy Falcons,Dambulla Sixers,LD Chandimal,ADS Fletcher,D Madushanka,0,0,,,,,,,,,
1428476,2024,2024-07-15,"R Premadasa Stadium, Colombo",1,1.6,Kandy Falcons,Dambulla Sixers,LD Chandimal,ADS Fletcher,D Madushanka,1,0,,,,,,,,,
1428476,2024,2024-07-15,"R Premadasa Stadium, Colombo",1,2.1,Kandy Falcons,Dambulla Sixers,LD Chandimal,ADS Fletcher,N Thushara,0,0,,,,,,,,,
1428476,2024,2024-07-15,"R Premadasa Stadium, Colombo",1,2.2,Kandy Falcons,Dambulla Sixers,LD Chandimal,ADS Fletcher,N Thushara,0,0,,,,,,,,,
1428476,2024,2024-07-15,"R Premadasa Stadium, Colombo",1,2.3,Kandy Falcons,Dambulla Sixers,LD Chandimal,ADS Fletcher,N Thushara,1,0,,,,,,,,,
1428476,2024,2024-07-15,"R Premadasa Stadium, Colombo",1,2.4,Kandy Falcons,Dambulla Sixers,ADS Fletcher,LD Chandimal,N Thushara,1,0,,,,,,,,,
1428476,2024,2024-07-15,"R Premadasa Stadium, Colombo",1,2.5,Kandy Falcons,Dambulla Sixers,LD Chandimal,ADS Fletcher,N Thushara,1,0,,,,,,,,,
1428476,2024,2024-07-15,"R Premadasa Stadium, Colombo",1,2.6,Kandy Falcons,Dambulla Sixers,ADS Fletcher,LD Chandimal,N Thushara,0,0,,,,,,,,,
